,name,repo,owner,link
130,awesome-ml-model-compression,awesome-ml-model-compression,cedrickchee,"https://github.com/cedrickchee/awesome-ml-model-compression.git
"
131,downloader-cli,downloader-cli,deepjyoti30,"https://github.com/deepjyoti30/downloader-cli.git
"
132,awesome-swiftui,awesome-swiftui,chinsyo,"https://github.com/chinsyo/awesome-swiftui.git
"
133,funNLP,funNLP,fighting41love,"https://github.com/fighting41love/funNLP.git
"
134,fucking-awesome-python,fucking-awesome-python,trananhkma,"https://github.com/trananhkma/fucking-awesome-python.git
"
135,awesome-aws-lambda,awesome-aws-lambda,danteata,"https://github.com/danteata/awesome-aws-lambda.git
"
136,azure-iot-developer-kit,azure-iot-developer-kit,microsoft,"https://github.com/microsoft/azure-iot-developer-kit.git
"
137,zwpy_lst,zwpy_lst,ziwang-com,"https://github.com/ziwang-com/zwpy_lst.git
"
138,awesome-asyncio,awesome-asyncio,timofurrer,"https://github.com/timofurrer/awesome-asyncio.git
"
139,DNN-Face-Recognition-Papers,DNN-Face-Recognition-Papers,L706077,"https://github.com/L706077/DNN-Face-Recognition-Papers.git
"
140,awesome-video,awesome-video,sitkevij,"https://github.com/sitkevij/awesome-video.git
"
141,PaddleHub,PaddleHub,PaddlePaddle,"https://github.com/PaddlePaddle/PaddleHub.git
"
142,awesome-readme,awesome-readme,navendu-pottekkat,"https://github.com/navendu-pottekkat/awesome-readme.git
"
143,awesome-swiftui,awesome-swiftui,vlondon,"https://github.com/vlondon/awesome-swiftui.git
"
144,Awesome-TensorFlow-Chinese,Awesome-TensorFlow-Chinese,fendouai,"https://github.com/fendouai/Awesome-TensorFlow-Chinese.git
"
145,awesome-pyproject,awesome-pyproject,carlosperate,"https://github.com/carlosperate/awesome-pyproject.git
"
146,awesome-ML-projects-guide,awesome-ML-projects-guide,dair-ai,"https://github.com/dair-ai/awesome-ML-projects-guide.git
"
147,awesome-d,awesome-d,dlang-community,"https://github.com/dlang-community/awesome-d.git
"
148,awesome-itcss,awesome-itcss,ahmadajmi,"https://github.com/ahmadajmi/awesome-itcss.git
"
149,awesome-ai-ml-dl,awesome-ai-ml-dl,neomatrix369,"https://github.com/neomatrix369/awesome-ai-ml-dl.git
"
150,awesome-edge-machine-learning,awesome-edge-machine-learning,Bisonai,"https://github.com/Bisonai/awesome-edge-machine-learning.git
"
151,awesome-RecSys,awesome-RecSys,jihoo-kim,"https://github.com/jihoo-kim/awesome-RecSys.git
"
152,AMGSoundManager,AMGSoundManager,AlbertMontserrat,"https://github.com/AlbertMontserrat/AMGSoundManager.git
"
153,awesome-tech-talks,awesome-tech-talks,1and1,"https://github.com/1and1/awesome-tech-talks.git
"
154,awesome-machine-learning-interpretability,awesome-machine-learning-interpretability,jphall663,"https://github.com/jphall663/awesome-machine-learning-interpretability.git
"
155,awesome-machine-learning,awesome-machine-learning,josephmisiti,"https://github.com/josephmisiti/awesome-machine-learning.git
"
156,awesome-ml,awesome-ml,sdukshis,"https://github.com/sdukshis/awesome-ml.git
"
157,awesome-python,awesome-python,vinta,"https://github.com/vinta/awesome-python.git
"
158,best-of-python-dev,best-of-python-dev,ml-tooling,"https://github.com/ml-tooling/best-of-python-dev.git
"
159,awesome-tensor-compilers,awesome-tensor-compilers,merrymercy,"https://github.com/merrymercy/awesome-tensor-compilers.git
"
160,awesome-self-supervised-learning-for-graphs,awesome-self-supervised-learning-for-graphs,SXKDZ,"https://github.com/SXKDZ/awesome-self-supervised-learning-for-graphs.git
"
161,awesome-adversarial-machine-learning,awesome-adversarial-machine-learning,yenchenlin,"https://github.com/yenchenlin/awesome-adversarial-machine-learning.git
"
162,Time-Series-Papers,Time-Series-Papers,bighuang624,"https://github.com/bighuang624/Time-Series-Papers.git
"
163,Awesome-pytorch-list-CNVersion,Awesome-pytorch-list-CNVersion,xavier-zy,"https://github.com/xavier-zy/Awesome-pytorch-list-CNVersion.git
"
164,best-of-web-python,best-of-web-python,ml-tooling,"https://github.com/ml-tooling/best-of-web-python.git
"
165,awesome-video-chat-backgrounds,awesome-video-chat-backgrounds,MSAdministrator,"https://github.com/MSAdministrator/awesome-video-chat-backgrounds.git
"
166,awesome-python-typing,awesome-python-typing,typeddjango,"https://github.com/typeddjango/awesome-python-typing.git
"
167,awesome-django-admin,awesome-django-admin,originalankur,"https://github.com/originalankur/awesome-django-admin.git
"
168,awesome-ai-awesomeness,awesome-ai-awesomeness,amusi,"https://github.com/amusi/awesome-ai-awesomeness.git
"
169,awesome-adversarial-examples-dl,awesome-adversarial-examples-dl,chbrian,"https://github.com/chbrian/awesome-adversarial-examples-dl.git
"
170,awesome-circuitpython,awesome-circuitpython,adafruit,"https://github.com/adafruit/awesome-circuitpython.git
"
171,awesome-css-in-js,awesome-css-in-js,tuchk4,"https://github.com/tuchk4/awesome-css-in-js.git
"
172,yousan.ai,yousan.ai,longpeng2008,"https://github.com/longpeng2008/yousan.ai.git
"
173,awesome-contrastive-self-supervised-learning,awesome-contrastive-self-supervised-learning,asheeshcric,"https://github.com/asheeshcric/awesome-contrastive-self-supervised-learning.git
"
174,itertools.js,itertools.js,nvie,"https://github.com/nvie/itertools.js.git
"
175,botupdate,botupdate,botupdate,"https://github.com/botupdate/botupdate.git
"
176,awesome-deep-trading,awesome-deep-trading,cbailes,"https://github.com/cbailes/awesome-deep-trading.git
"
177,awesome-quantum-ml,awesome-quantum-ml,artix41,"https://github.com/artix41/awesome-quantum-ml.git
"
